,count,mean,std,min,25%,50%,75%,max
SHLT,32145.0,0.855706674966206,0.4077290135698421,0.0953101798043249,0.7419373447293773,0.7419373447293773,1.1314021114911006,1.62924053973028
BMI,32145.0,3.325060611478864,0.17512140114865765,2.282382385676526,3.202746442938317,3.3141860046725258,3.4339872044851463,4.115779842942166
MSTOT,32145.0,2.6005428868688565,0.1391792150169857,1.410986973710262,2.5726122302071057,2.6461747973841225,2.714694743820879,2.714694743820879
COGTOT,32145.0,3.174847668742437,0.17078639826070896,1.8082887711792652,3.095577608523707,3.1822118404966093,3.299533727885655,3.55820113047182
INHPFN,32145.0,-2.261321876392169,0.31584166750094894,-2.302585092994045,-2.302585092994045,-2.302585092994045,-2.302585092994045,1.62924053973028
HHHRES,32145.0,0.940871503131171,0.30400096528895,0.7419373447293773,0.7419373447293773,0.7419373447293773,1.1314021114911006,2.4932054526026954
HCHILD,32145.0,0.9803501134766364,0.8098995344777393,-2.302585092994045,0.7419373447293773,1.1314021114911006,1.410986973710262,2.4069451083182885
LIVSIB,32145.0,0.6288719146953209,1.1916503203943645,-2.302585092994045,0.0953101798043249,0.7419373447293773,1.410986973710262,2.89591193827178
HAIRA,32145.0,4.143812948358409,6.685256178066539,-2.302585092994045,-2.302585092994045,-2.302585092994045,11.002101507869517,14.615267518526297
HATOTB,32145.0,12.133309290186366,2.006459972324615,-2.302585092994045,11.429544942987109,12.380026372821591,13.242809707785144,16.41039206842632
IEARN,32145.0,6.810351849077935,5.4916019762071135,-2.302585092994045,-2.302585092994045,9.615812146728793,10.596637233092949,12.899220076090089
HITOT,32145.0,11.127462639289337,1.0527739103550355,-2.302585092994045,10.671263196822665,11.170492900835065,11.661346332157096,14.100689575385903
PRPCNT,32145.0,-0.5162338534833233,1.099296323627387,-2.302585092994045,-2.302585092994045,0.0953101798043249,0.0953101798043249,3.139832617527748
